/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/CodigoMandato;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/SegundaLegislaturaDoMandato/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Titular/NomeParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/DescricaoParticipacao;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/CodigoParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Suplentes/Suplente/NomeParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/CodigoExercicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataInicio;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataFim;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/Servico/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/Servico/Parlamentares/Parlamentar/Mandatos/Mandato/Exercicios/Exercicio/DataLeitura
"5573";"Abel Rebouças";"Abel Rebouças São José";"Masculino";"Senador ";"PDT";"492";"BA";"1º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5523";"Otto Alencar";"2º Suplente";"5575";"Marizete";;;;;;;;;;;;
"5154";"Abiancy Cadoso Rosa";"Abiancy Cadoso Rosa";"Masculino";"Senador ";"CIDADANIA";"487";"PA";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"3634";"Flexa Ribeiro";"1º Suplente";"380";"Nicias Ribeiro";;;;;;;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"1º Suplente";"5615";"Gilberto Piselo";"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;"2º Suplente";"5617";"Pastor Valadares";"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"2810";"2017-01-14";"2023-01-31";"TER";"Término do mandato";;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";"2754";"2015-02-01";"2016-09-08";"LSP";"Licença Saúde-Particular";;
"4981";"Acir Gurgacz";"Acir Marcos Gurgacz";"Masculino";"Senador ";"PDT";"515";"RO";"Titular";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";;;;;;;"916";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981";"https://acirgurgacz.com.br/";"sen.acirgurgacz@senado.leg.br";;;;;;;
"5625";"Adilson Silva dos Santos";"Adilson Silva dos Santos";"Masculino";"Senador ";"PEN";"497";"RS";"2º Suplente";"55";"2015-02-01";"2019-01-31";"56";"2019-02-01";"2023-01-31";"Titular";"5533";"Lasier Martins";"1º Suplente";"5623";"Christopher Goulart";;;;;;;;;;;;
"5170";"Agimiro Dias da Costa";"Agimiro Dias da Costa";"Masculino";"Senador ";"PSDB";"451";"TO";"2º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"4763";"Vicentinho Alves";"1º Suplente";"5166";"João Costa";;;;;;;;;;;;
"5140";"Airton Sandoval";"Airton Sandoval Santana";"Masculino";"Senador ";"MDB";"485";"SP";"1º Suplente";"54";"2011-02-01";"2015-01-31";"55";"2015-02-01";"2019-01-31";"Titular";"846";"Aloysio Nunes Ferreira";"2º Suplente";"5142";"Marta Maria Freire da Costa";;"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5140.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5140";;"sen.airtonsandoval@senado.leg.br";"2827";"2017-03-09";"2018-12-31";"RET";"Retorno do titular";;
