Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
5918;;Adilson Gomes;Adilson Gomes Silva;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;2º Suplente;Titular;4545;Jarbas Vasconcelos;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;2º Suplente;;;;1º Suplente;5917;Fernando Dueire;;;;;;
6382;;Adrian da Blukit;Adrian Rogers Censi;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;2º Suplente;Titular;6342;Jorge Seif;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;2º Suplente;;;;1º Suplente;6381;Hermes Klann;;;;;;
6346;;Adélia Maria;Adélia Maria Correia Santos Konishi;Feminino;Senadora;;;;;PV;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;;;;2º Suplente;Titular;5207;Renan Filho;;;;;;;;;
;;;;;;;;;;;;597;AL;;;;;;;2º Suplente;;;;1º Suplente;6345;Fernando Farias;;;;;;
6026;;Afonso Parente;Afonso Valter Parente Pinto;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;2º Suplente;Titular;6027;Mecias de Jesus;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;2º Suplente;;;;1º Suplente;6025;Enfermeira Roberta;;;;;;
5672;800;Alan Rick;Alan Rick Miranda;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672;;sen.alanrick@senado.leg.br;UNIÃO;AC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;1º Suplente;6343;Gemil Junior;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;2º Suplente;6344;Coronel Casagrande;;;;;;
;;;;;;;;;;;;596;AC;;;;;;;Titular;;;;;;;3028;2023-02-01;;;;
5923;;Alberto David;Alberto da Silva David;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;522;AP;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;522;AP;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;522;AP;;;;;;;1º Suplente;Titular;5012;Randolfe Rodrigues;;;;;;;;;
;;;;;;;;;;;;522;AP;;;;;;;1º Suplente;;;;2º Suplente;5925;Pastor Gaia;;;;;;
5982;829;Alessandro Vieira;Alessandro Vieira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982;;sen.alessandrovieira@senado.leg.br;MDB;SE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;1º Suplente;5980;Fernando Carvalho;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;2º Suplente;5981;Major Ildomario;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;Titular;;;;;;;2888;2019-02-01;;;;
6360;;Alex Diniz;Alex Sandro Coelho Diniz;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;603;MG;;;;;;;1º Suplente;Titular;6337;Cleitinho;;;;;;;;;
;;;;;;;;;;;;603;MG;;;;;;;1º Suplente;;;;2º Suplente;6361;Wander de Souza;;;;;;
3651;;Alfredo Cotait Neto;Alfredo Cotait Neto;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3651.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/3651;;alfredo.cotait@senador.leg.br;DEM;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;1º Suplente;Titular;5376;Mara Gabrilli;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;1º Suplente;;;;2º Suplente;6007;Ivani Boscolo;;;;;;
6379;;Aline Rezende;Aline Maria de Menezes Rezende Chagas;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;2º Suplente;Titular;5793;Dr. Hiran;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;2º Suplente;;;;1º Suplente;6378;Jr Rodrigues;;;;;;
5962;;Alisson Taveira;Alisson Taveira Rocha Leal;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;;;;1º Suplente;Titular;5959;Styvenson Valentim;;;;;;;;;
;;;;;;;;;;;;550;RN;;;;;;;1º Suplente;;;;2º Suplente;5963;Coronel Margarida;;;;;;
5989;;Ana Maria;Ana Maria de Resende Vieira;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;562;MG;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;562;MG;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;562;MG;;;;;;;2º Suplente;Titular;5732;Rodrigo Pacheco;;;;;;;;;
;;;;;;;;;;;;562;MG;;;;;;;2º Suplente;;;;1º Suplente;5257;Renzo Braz;;;;;;
